Term,Plan,Employer,State
20138,SOFTENG-BS,Banco Popular Dominicano,XX
20138,INFOSEC-BS,Box Inc,CA
20138,NWMEDID-BS,Canon USA Inc,NY
20138,GAMEDES-BS,GSN Games,CA
20138,GAMEDES-BS,RIT - Computer Science,NY
20138,COMPSCI-BS,Workinman,NY
20138,COMPSCI-BS,IMSWorkX,NY
20138,COMPSCI-MS,Institute 4 Priority Thinking,NY
20138,SOFTENG-BS,Paychex Inc,NY
20138,INFOTEC-BS,Alcoa Inc,PA
20138,INFOTEC-BS,Wegmans Food Markets Inc,NY
20138,COMPSCI-BS,RIT-NTID - Center On Access Technology,NY
20138,INFOTEC-BS,Xerox Corporation - Roch-S Clinton,NY
20138,ANSA-BS,Nyoozi,XX
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,NETSYS-MS,"Susquehanna International Group, LLP",PA
20138,GAMEDES-BS,Canon USA Inc,NY
20138,INFOSEC-BS,JPMorgan Chase,NY
20138,GAMEDES-BS,Intelligent Waves,VA
20138,COMPSCI-MS,Vicor Corp,MA
20138,COMPSCI-BS,RIT - Saunders Startup,NY
20138,INFOTEC-BS,Calix,CA
20138,COMPSCI-BS,Oracle,PA
20138,GAMEDES-BS,Emagination Computer Camps,NH
20138,COMPSCI-BS,Ortho Clinical Diagnostics,NY
20138,INFOTEC-BS,JetBlue,NY
20138,INFOTEC-BS,Wyman Gordon,TX
20138,COMPSCI-BS,Drawbridge,CA
20138,INFOSEC-BS,Coalfire,MA
20138,COMPSCI-BS,EnerNOC Inc,MA
20138,COMPSCI-BS,Thomson Reuters,NY
20138,ANSA-BS,The Hershey Company,PA
20138,COMPSCI-MS,Intuit,CA
20138,INFOSEC-BS,Mitre Corp,VA
20138,SOFTENG-BS,Thomson Reuters,NY
20138,COMPSCI-BS,Town of Greece,NY
20138,COMPSCI-BS,Google,CA
20138,MEDINFO-BS,RIT - School of Media Sciences,NY
20138,COMPSCI-BS,Lockheed Martin,NJ
20138,SOFTENG-BS,Amazon,WA
20138,SOFTENG-BS,Listrak,PA
20138,GAMEDES-BS,Ahold Inc,MA
20138,GAMEDES-BS,S&P Capital IQ,NY
20138,INFOTEC-BS,W A Krapf Inc,NY
20138,COMPSCI-BS,Google,CA
20138,INFOTEC-BS,Rich Products,NY
20138,GAMEDES-BS,Mitre Corp,VA
20138,COMPSCI-BS,Apple,CA
20138,SOFTENG-BS,EagleDream Technologies,NY
20138,COMPSCI-BS,Rochester Software Associates,NY
20138,GAMEDES-BS,Darkwind Media,NY
20138,SOFTENG-BS,Intel Corp,CA
20138,SOFTENG-BS,MKS ENI Technologies,NY
20138,NWMEDID-BS,MotionSavvy,NY
20138,ANSA-BS,Soleo Communications Inc,NY
20138,SOFTENG-BS,Constant Contact,MA
20138,COMPSCI-MS,TeraRecon,CA
20138,COMPSCI-MS,Apple,CA
20138,COMPSCI-MS,Thomson Reuters,NY
20138,COMPSCI-MS,Vicor Corp,MA
20138,COMPSCI-MS,Thomson Reuters,NY
20138,NWMEDID-BS,iD Tech Camps (Internal Drive),CA
20138,ANSA-BS,Cisco Meraki,CA
20138,NWMEDID-BS,Xamarin,MA
20138,SOFTENG-BS,Apple,CA
20138,COMPSCI-BS,Connection Technology Center  - CTC,NY
20138,COMPSCI-BS,Iomaxis,VA
20138,SOFTENG-BS,Mitre Corp,MA
20138,SOFTENG-BS,Squarespace,NY
20138,COMPSCI-BS,General Electric,OH
20138,SOFTENG-BS,Datto Inc.,CT
20138,INFOTEC-BS,iD Tech Camps (Internal Drive),CA
20138,INFOSEC-BS,Liberty Mutual,NH
20138,GAMEDES-BS,RIT - Research Computing,NY
20138,COMPSCI-BS,Google,CA
20138,GAMEDES-BS,"Vistaprint, A Cimpress Company",MA
20138,INFOTEC-BS,EnerNOC Inc,MA
20138,COMPSCI-BS,"Seapine Software, Inc.",OH
20138,INFOSEC-BS,Hitachi Data Systems,MA
20138,COMPSCI-BS,CloudCheckr,NY
20138,ANSA-BS,Sigma Marketing,NY
20138,COMPSCI-BS,Mozilla,CA
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,ANSA-BS,REI Building Services,MA
20138,GAMEDES-BS,EnerNOC Inc,MA
20138,COMPSCI-BS,Apple,CA
20138,GAMEDES-MS,Apple,CA
20138,GAMEDES-BS,Arkadium,NY
20138,GAMEDES-BS,Amazon,WA
20138,INFOSEC-BS,General Dynamics Advanced Information Systems,VA
20138,INFOTEC-BS,Intuit,CA
20138,COMPSCI-BS,Microsoft Corporation,WA
20138,SOFTENG-BS,RIT - Career Services & Cooperative Education,NY
20138,INFOTEC-BS,1stdibs,NY
20138,SOFTENG-BS,Ricoh Production Print Solutions,CO
20138,SOFTENG-BS,Datto Inc.,CT
20138,SOFTENG-MS,Intuit,CA
20138,SOFTENG-BS,Cisco Systems Inc,CA
20138,COMPSCI-BS,Microsoft Corporation,WA
20138,GAMEDES-BS,Sesame Workshop,NY
20138,COMPSCI-BS,Asher Group,NY
20138,COMPSCI-BS,Samsung Information Systems America (SISA),CA
20138,ANSA-BS,Headquarters United States Military Entrance Processing Command,IL
20138,COMPSCI-BS,Blackbaud,SC
20138,COMPSCI-BS,CHI Systems Inc,PA
20138,COMPSCI-BS,Carestream Health,NY
20138,COMPSCI-BS,Paychex Inc,NY
20138,SOFTENG-BS,Rochester Software Associates,NY
20138,GAMEDES-BS,Petroglyph Games,NV
20138,COMPSCI-BS,SunGard,NH
20138,GAMEDES-BS,RIT - College of Liberal Arts,NY
20138,NWMEDID-BS,Constant Contact,MA
20138,INFOTEC-BS,Energy Curtailment Specialists Inc.,NY
20138,COMPSCI-MS,Wayfair,MA
20138,GAMEDES-BS,Gameloft,NY
20138,SOFTENG-BS,Liberty Mutual,NH
20138,INFOTEC-BS,City of Rochester - Information Technology,NY
20138,GAMEDES-BS,Alpine Software,NY
20138,INFOTEC-BS,RIT - ITS/Technical Support,NY
20138,INFOTEC-BS,Skyvo,NY
20138,INFOTEC-BS,Skyvo,NY
20138,COMPSCI-BS,Aras Corporation,MA
20138,SOFTENG-BS,Intuit,CA
20138,COMPSCI-MS,Kodak Alaris,NY
20138,INFOSEC-BS,General Dynamics Mission Systems,MA
20138,SOFTENG-BS,Thomson Reuters,NY
20138,SOFTENG-BS,Apple,CA
20138,NETSYS-BS,Chemung County,NY
20138,INFOSEC-BS,Space and Naval Warfare Systems Command (SPAWAR),SC
20138,COMPSCI-BS,Base Commerce LLC,NY
20138,GAMEDES-BS,Zynga,CA
20138,GAMEDES-BS,RIT - Kids On Campus,NY
20138,COMPSCI-BS,Intuit,CA
20138,ANSA-BS,M&T Bank,NY
20138,GAMEDES-BS,"All Things Media, LLC",NJ
20138,GAMEDES-BS,Vnomics Corp,NY
20138,COMPSCI-BS,Astronics Luminescent Systems Inc.,NY
20138,INFOSEC-BS,Wyman Gordon,TX
20138,COMPSCI-BS,Google,CA
20138,COMPSCI-BS,Orthonet,NY
20138,COMPSCI-BS,Hudl,NE
20138,HUMCOMP-MS,ANSYS Inc,PA
20138,COMPSCI-BS,MOOG Inc,NY
20138,COMPSCI-BS,Savant Systems,MA
20138,GAMEDES-BS,RIT - Institute for Health Sciences and Technology,NY
20138,COMPSCI-BS,Assured Guaranty,NY
20138,COMPSCI-BS,Calero Software (formerly Veramark),NY
20138,NWMEDID-BS,MCD Partners,NY
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,COMPSCI-BS,Amazon,WA
20138,GAMEDES-BS,BrokenMyth Studios LLC,NY
20138,SOFTENG-BS,Thomson Reuters,NY
20138,COMPSCI-BS,EnerNOC Inc,MA
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,GAMEDES-BS,Logitech,CA
20138,SOFTENG-BS,General Electric,OH
20138,COMPSCI-BS,MOOG Inc,NY
20138,SOFTENG-BS,RIT - Imaging Science,NY
20138,SOFTENG-BS,HubSpot,MA
20138,INFOSEC-BS,Cisco Systems Inc,CA
20138,SOFTENG-BS,Promantus Inc,NC
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,COMPSCI-BS,EagleDream Technologies,NY
20138,COMPSCI-MS,Liberty Mutual,NH
20138,COMPSCI-BS,MOOG Inc,NY
20138,COMPIS-PHD,"CommVault Systems, Inc.",NJ
20138,GAMEDES-BS,Double Helix Games,CA
20138,INFOTEC-BS,Envative,NY
20138,COMPSCI-BS,Interactive Intelligence Inc,IN
